# Lower Bound	Count	Width
0.00282996	1240	0.000573845
0.0034038	2852	0.000573845
0.00397765	3260	0.000573845
0.00455149	2441	0.000573845
0.00512534	1824	0.000573845
0.00569918	1374	0.000573845
0.00627303	1057	0.000573845
0.00684687	792	0.000573845
0.00742072	689	0.000573845
0.00799456	524	0.000573846
0.00856841	395	0.000573845
0.00914225	341	0.000573846
0.0097161	229	0.000573845
0.0102899	175	0.000573846
0.0108638	147	0.000573845
0.0114376	124	0.000573846
0.0120115	114	0.000573845
0.0125853	83	0.000573846
0.0131592	64	0.000573845
0.013733	54	0.000573846
0.0143069	43	0.000573845
0.0148807	39	0.000573846
0.0154545	21	0.000573845
0.0160284	14	0.000573846
0.0166022	15	0.000573846
0.0171761	15	0.000573844
0.0177499	14	0.000573846
0.0183238	8	0.000573846
0.0188976	7	0.000573844
0.0194715	10	0.000573846
0.0200453	2	0.000573846
0.0206192	7	0.000573846
0.021193	3	0.000573844
0.0217668	6	0.000573846
0.0223407	1	0.000573846
0.0229145	3	0.000573846
0.0234884	3	0.000573844
0.0240622	2	0.000573846
0.0246361	0	0.000573846
0.0252099	2	0.000573846
0.0257838	3	0.000573844
0.0263576	0	0.000573846
0.0269314	1	0.000573846
0.0275053	0	0.000573846
0.0280791	0	0.000573844
0.028653	0	0.000573846
0.0292268	1	0.000573846
0.0298007	0	0.000573846
0.0303745	0	0.000573844
0.0309484	1	0.000573846

