# Lower Bound	Count	Width
3	4	3.38
6.38	4	3.38
9.76	25	3.38
13.14	33	3.38
16.52	59	3.38
19.9	101	3.38
23.28	110	3.38
26.66	231	3.38
30.04	206	3.38
33.42	280	3.38
36.8	458	3.38
40.18	495	3.38
43.56	592	3.38
46.94	1027	3.38
50.32	969	3.38
53.7	1746	3.38
57.08	1742	3.38
60.46	2316	3.38
63.84	4047	3.38
67.22	4090	3.38
70.6	5228	3.38
73.98	9252	3.38
77.36	8482	3.38
80.74	13749	3.38
84.12	12504	3.38
87.5	14576	3.38
90.88	22751	3.38
94.26	20276	3.38
97.64	31251	3.38
101.02	27454	3.38
104.4	30420	3.38
107.78	45599	3.38
111.16	37461	3.38
114.54	39928	3.38
117.92	54525	3.38
121.3	40930	3.38
124.68	52112	3.38
128.06	35915	3.38
131.44	32044	3.38
134.82	35699	3.37999
138.2	20884	3.38
141.58	15786	3.38
144.96	13718	3.37999
148.34	6119	3.38
151.72	3990	3.38
155.1	1212	3.37999
158.48	462	3.38
161.86	202	3.38
165.24	22	3.37999
168.62	4	3.38

