# Lower Bound	Count	Width
0.000999406	338446	0.00126525
0.00226465	628727	0.00126525
0.0035299	425011	0.00126525
0.00479515	265901	0.00126525
0.0060604	170531	0.00126525
0.00732565	112930	0.00126525
0.0085909	75797	0.00126525
0.00985615	52322	0.00126525
0.0111214	35989	0.00126525
0.0123866	25298	0.00126525
0.0136519	18104	0.00126525
0.0149171	12990	0.00126525
0.0161824	9352	0.00126525
0.0174476	6990	0.00126525
0.0187129	5192	0.00126525
0.0199781	3700	0.00126525
0.0212434	2865	0.00126525
0.0225086	2133	0.00126525
0.0237739	1664	0.00126525
0.0250391	1171	0.00126525
0.0263044	913	0.00126525
0.0275696	682	0.00126525
0.0288349	511	0.00126525
0.0301001	349	0.00126525
0.0313654	258	0.00126525
0.0326306	213	0.00126525
0.0338959	126	0.00126525
0.0351611	92	0.00126525
0.0364264	85	0.00126525
0.0376916	56	0.00126525
0.0389569	44	0.00126525
0.0402221	31	0.00126525
0.0414874	30	0.00126525
0.0427526	29	0.00126525
0.0440179	7	0.00126525
0.0452831	16	0.00126525
0.0465484	10	0.00126525
0.0478136	6	0.00126525
0.0490789	2	0.00126525
0.0503441	5	0.00126525
0.0516094	1	0.00126525
0.0528746	1	0.00126525
0.0541399	0	0.00126525
0.0554051	0	0.00126525
0.0566704	0	0.00126525
0.0579356	1	0.00126525
0.0592008	0	0.00126525
0.0604661	0	0.00126525
0.0617313	0	0.00126525
0.0629966	1	0.00126525

