# Lower Bound	Count	Width
4.8	1.728e+06	0.549809
5.34981	334809	0.549809
5.89962	0	0.549809
6.44943	347	0.549809
6.99923	0	0.549809
7.54904	104225	0.549808
8.09885	0	0.549809
8.64866	0	0.549809
9.19847	245	0.549809
9.74828	0	0.549809
10.2981	0	0.549809
10.8479	0	0.549809
11.3977	25052	0.549809
11.9475	0	0.549809
12.4973	0	0.549809
13.0471	71	0.549809
13.5969	0	0.549809
14.1467	0	0.549809
14.6966	0	0.549809
15.2464	0	0.549809
15.7962	4946	0.549809
16.346	0	0.549809
16.8958	0	0.549809
17.4456	0	0.549809
17.9954	0	0.549809
18.5452	0	0.549809
19.095	32	0.549809
19.6448	0	0.549809
20.1946	0	0.549809
20.7444	0	0.549809
21.2943	0	0.549809
21.8441	0	0.549809
22.3939	841	0.549809
22.9437	0	0.549809
23.4935	0	0.549809
24.0433	0	0.549809
24.5931	0	0.549809
25.1429	0	0.549809
25.6927	0	0.549809
26.2425	0	0.549809
26.7923	3	0.549809
27.3421	0	0.549809
27.892	0	0.549809
28.4418	0	0.549809
28.9916	0	0.549809
29.5414	0	0.549809
30.0912	0	0.549809
30.641	0	0.549809
31.1908	0	0.549809
31.7406	0	0.549809

