# Lower Bound	Count	Width
4	10	3.04
7.04	23	3.04
10.08	37	3.04
13.12	58	3.04
16.16	85	3.04
19.2	121	3.04
22.24	157	3.04
25.28	224	3.04
28.32	259	3.04
31.36	320	3.04
34.4	408	3.04
37.44	464	3.04
40.48	527	3.04
43.52	567	3.04
46.56	697	3.04
49.6	803	3.04
52.64	803	3.04
55.68	907	3.04
58.72	1012	3.04
61.76	1076	3.04
64.8	1162	3.03999
67.84	1188	3.04
70.88	1271	3.04
73.92	1434	3.04
76.96	1439	3.04
80	1968	3.04
83.04	1538	3.04
86.08	1648	3.04
89.12	1596	3.03999
92.16	1640	3.04
95.2	1568	3.04
98.24	1464	3.04
101.28	1415	3.04
104.32	1308	3.04
107.36	1205	3.04
110.4	1059	3.04
113.44	866	3.04
116.48	841	3.03999
119.52	612	3.04
122.56	536	3.04
125.6	383	3.04
128.64	261	3.03999
131.68	176	3.04001
134.72	118	3.03999
137.76	59	3.04001
140.8	32	3.03999
143.84	20	3.04001
146.88	9	3.03999
149.92	11	3.04001
152.96	1	3.03999

