# Lower Bound	Count	Width
11	5	3.12
14.12	3	3.12
17.24	10	3.12
20.36	22	3.12
23.48	32	3.12
26.6	36	3.12
29.72	66	3.12
32.84	102	3.12
35.96	178	3.12
39.08	167	3.12
42.2	200	3.12
45.32	238	3.12
48.44	279	3.12
51.56	338	3.12
54.68	385	3.12
57.8	470	3.12
60.92	722	3.12
64.04	610	3.12
67.16	745	3.12
70.28	825	3.12
73.4	937	3.12
76.52	1140	3.12
79.64	1288	3.12
82.76	1453	3.12
85.88	1561	3.12
89	2633	3.12
92.12	2138	3.12
95.24	2417	3.12
98.36	2683	3.12
101.48	2735	3.12
104.6	2956	3.12
107.72	2926	3.12
110.84	2934	3.12
113.96	3702	3.12
117.08	2488	3.12
120.2	2231	3.12
123.32	1920	3.12
126.44	1568	3.12
129.56	1114	3.12
132.68	835	3.12001
135.8	614	3.12
138.92	493	3.12
142.04	209	3.12001
145.16	128	3.12
148.28	79	3.12
151.4	37	3.12001
154.52	22	3.12
157.64	14	3.12
160.76	8	3.12001
163.88	0	3.12

