# Lower Bound	Count	Width
0.00132019	27543	0.00114726
0.00246744	32598	0.00114726
0.0036147	23355	0.00114726
0.00476196	17509	0.00114726
0.00590922	13320	0.00114726
0.00705648	10679	0.00114726
0.00820374	8703	0.00114726
0.009351	6717	0.00114726
0.0104983	5552	0.00114726
0.0116455	4413	0.00114726
0.0127928	3664	0.00114726
0.01394	3018	0.00114726
0.0150873	2567	0.00114726
0.0162345	2084	0.00114726
0.0173818	1656	0.00114726
0.0185291	1442	0.00114726
0.0196763	1127	0.00114726
0.0208236	916	0.00114726
0.0219708	731	0.00114726
0.0231181	594	0.00114726
0.0242654	500	0.00114726
0.0254126	413	0.00114726
0.0265599	331	0.00114726
0.0277071	292	0.00114726
0.0288544	213	0.00114726
0.0300017	185	0.00114726
0.0311489	154	0.00114726
0.0322962	134	0.00114726
0.0334434	102	0.00114726
0.0345907	96	0.00114726
0.0357379	64	0.00114726
0.0368852	49	0.00114726
0.0380325	56	0.00114726
0.0391797	45	0.00114726
0.040327	27	0.00114726
0.0414742	21	0.00114726
0.0426215	22	0.00114726
0.0437688	18	0.00114726
0.044916	18	0.00114726
0.0460633	17	0.00114726
0.0472105	9	0.00114726
0.0483578	17	0.00114726
0.049505	6	0.00114726
0.0506523	5	0.00114726
0.0517996	5	0.00114726
0.0529468	1	0.00114726
0.0540941	4	0.00114726
0.0552413	6	0.00114726
0.0563886	0	0.00114726
0.0575359	2	0.00114726

