# Lower Bound	Count	Width
6	1	3.02
9.02	10	3.02
12.04	21	3.02
15.06	46	3.02
18.08	82	3.02
21.1	112	3.02
24.12	162	3.02
27.14	206	3.02
30.16	263	3.02
33.18	340	3.02
36.2	408	3.02
39.22	418	3.02
42.24	482	3.02
45.26	497	3.02
48.28	603	3.02
51.3	605	3.02
54.32	603	3.02
57.34	693	3.02
60.36	666	3.02
63.38	628	3.02
66.4	678	3.02
69.42	631	3.02
72.44	596	3.02
75.46	592	3.02
78.48	570	3.02
81.5	591	3.02
84.52	624	3.02
87.54	564	3.02
90.56	528	3.02
93.58	478	3.02
96.6	459	3.02
99.62	406	3.02
102.64	380	3.02
105.66	325	3.02
108.68	262	3.02
111.7	220	3.02
114.72	207	3.02
117.74	160	3.02
120.76	96	3.02
123.78	76	3.02
126.8	66	3.02
129.82	43	3.01999
132.84	21	3.02
135.86	17	3.02
138.88	5	3.01999
141.9	5	3.02
144.92	4	3.02
147.94	3	3.02
150.96	0	3.01999
153.98	0	3.02

