# Lower Bound	Count	Width
-5.96046e-07	88	3.46
3.46	259	3.46
6.92	641	3.46
10.38	502	3.46
13.84	702	3.46
17.3	514	3.46
20.76	675	3.46
24.22	490	3.46
27.68	622	3.46
31.14	444	3.46
34.6	532	3.46
38.06	360	3.46
41.52	306	3.46
44.98	361	3.46
48.44	232	3.46
51.9	265	3.46
55.36	176	3.46
58.82	217	3.46
62.28	141	3.46
65.74	163	3.46
69.2	101	3.46
72.66	122	3.46001
76.12	109	3.46
79.58	123	3.46
83.04	87	3.46
86.5	82	3.46
89.96	80	3.46
93.42	59	3.46
96.88	55	3.46
100.34	54	3.46001
103.8	60	3.46
107.26	35	3.46
110.72	40	3.46
114.18	30	3.46
117.64	28	3.46
121.1	25	3.46
124.56	18	3.46001
128.02	18	3.45999
131.48	14	3.46001
134.94	9	3.45999
138.4	10	3.46001
141.86	9	3.46001
145.32	8	3.45999
148.78	6	3.46001
152.24	3	3.45999
155.7	3	3.46001
159.16	3	3.45999
162.62	1	3.46001
166.08	0	3.45999
169.54	0	3.46001

