# Lower Bound	Count	Width
0.00099943	10227	0.000232407
0.00123184	6802	0.000232407
0.00146424	5164	0.000232407
0.00169665	4067	0.000232407
0.00192906	3206	0.000232407
0.00216146	2589	0.000232407
0.00239387	1899	0.000232407
0.00262628	1570	0.000232407
0.00285868	1217	0.000232407
0.00309109	1055	0.000232407
0.0033235	856	0.000232407
0.00355591	636	0.000232407
0.00378831	609	0.000232407
0.00402072	461	0.000232407
0.00425313	368	0.000232406
0.00448553	359	0.000232407
0.00471794	308	0.000232407
0.00495035	257	0.000232407
0.00518275	232	0.000232407
0.00541516	174	0.000232407
0.00564757	171	0.000232407
0.00587997	155	0.000232407
0.00611238	121	0.000232407
0.00634479	127	0.000232407
0.00657719	142	0.000232407
0.0068096	117	0.000232407
0.00704201	144	0.000232407
0.00727442	142	0.000232407
0.00750682	125	0.000232406
0.00773923	136	0.000232407
0.00797164	133	0.000232407
0.00820404	101	0.000232407
0.00843645	90	0.000232407
0.00866886	81	0.000232407
0.00890126	91	0.000232407
0.00913367	51	0.000232406
0.00936608	47	0.000232407
0.00959848	47	0.000232407
0.00983089	50	0.000232407
0.0100633	49	0.000232407
0.0102957	40	0.000232407
0.0105281	24	0.000232407
0.0107605	14	0.000232407
0.0109929	10	0.000232407
0.0112253	7	0.000232407
0.0114577	13	0.000232407
0.0116901	13	0.000232407
0.0119226	5	0.000232407
0.012155	4	0.000232407
0.0123874	3	0.000232407

