# Lower Bound	Count	Width
4.8	12907	0.990116
5.79012	0	0.990116
6.78023	62	0.990116
7.77035	10488	0.990116
8.76046	6	0.990116
9.75058	0	0.990116
10.7407	7454	0.990116
11.7308	0	0.990116
12.7209	150	0.990116
13.711	0	0.990116
14.7012	0	0.990116
15.6913	7404	0.990116
16.6814	0	0.990116
17.6715	0	0.990116
18.6616	15	0.990116
19.6517	0	0.990116
20.6419	0	0.990114
21.632	0	0.990116
22.6221	3122	0.990116
23.6122	0	0.990116
24.6023	0	0.990116
25.5924	0	0.990116
26.5826	117	0.990116
27.5727	0	0.990116
28.5628	0	0.990116
29.5529	0	0.990116
30.543	0	0.990116
31.5331	2213	0.990114
32.5232	0	0.990116
33.5134	0	0.990116
34.5035	0	0.990116
35.4936	0	0.990116
36.4837	0	0.990116
37.4738	5	0.990116
38.4639	0	0.990116
39.4541	0	0.990116
40.4442	0	0.990116
41.4343	0	0.990116
42.4244	0	0.990116
43.4145	0	0.990116
44.4046	0	0.990116
45.3948	349	0.990116
46.3849	0	0.990116
47.375	0	0.990116
48.3651	0	0.990116
49.3552	0	0.990116
50.3453	0	0.990116
51.3355	0	0.990116
52.3256	0	0.990116
53.3157	0	0.990116

