# Lower Bound	Count	Width
-5.96046e-07	521	3.04
3.04	1123	3.04
6.08	1717	3.04
9.12	2193	3.04
12.16	2170	3.04
15.2	2043	3.04
18.24	1899	3.04
21.28	1580	3.04
24.32	1373	3.04
27.36	1161	3.04
30.4	970	3.04
33.44	779	3.04
36.48	656	3.04
39.52	618	3.04
42.56	493	3.04
45.6	399	3.04
48.64	346	3.04
51.68	280	3.04
54.72	247	3.04
57.76	217	3.04
60.8	165	3.04
63.84	148	3.04
66.88	154	3.04
69.92	121	3.04
72.96	98	3.04
76	110	3.04
79.04	74	3.04
82.08	86	3.04
85.12	60	3.03999
88.16	45	3.04
91.2	42	3.04
94.24	49	3.04
97.28	40	3.04
100.32	36	3.04
103.36	32	3.04
106.4	20	3.04
109.44	20	3.04
112.48	15	3.03999
115.52	14	3.04
118.56	15	3.04
121.6	15	3.04
124.64	12	3.04
127.68	5	3.04
130.72	8	3.03999
133.76	2	3.04001
136.8	2	3.03999
139.84	2	3.04001
142.88	0	3.03999
145.92	2	3.04001
148.96	1	3.03999

