# Lower Bound	Count	Width
0.00774623	1700	0.00143009
0.00917632	2885	0.00143009
0.0106064	2874	0.00143009
0.0120365	2262	0.00143009
0.0134666	1726	0.00143009
0.0148967	1312	0.00143009
0.0163268	1086	0.00143009
0.0177569	916	0.00143009
0.019187	694	0.00143009
0.0206171	519	0.00143009
0.0220471	437	0.00143009
0.0234772	340	0.00143009
0.0249073	257	0.00143009
0.0263374	203	0.00143009
0.0277675	148	0.00143009
0.0291976	121	0.00143009
0.0306277	102	0.00143009
0.0320578	84	0.00143009
0.0334879	59	0.00143009
0.034918	38	0.00143009
0.0363481	40	0.00143009
0.0377782	46	0.00143009
0.0392082	19	0.00143009
0.0406383	29	0.00143009
0.0420684	9	0.00143009
0.0434985	11	0.00143009
0.0449286	15	0.00143009
0.0463587	13	0.00143009
0.0477888	9	0.00143009
0.0492189	6	0.00143009
0.050649	4	0.00143009
0.0520791	4	0.00143009
0.0535092	5	0.00143009
0.0549393	4	0.00143009
0.0563693	4	0.00143009
0.0577994	3	0.00143009
0.0592295	2	0.00143009
0.0606596	1	0.00143009
0.0620897	2	0.00143009
0.0635198	2	0.00143009
0.0649499	3	0.00143009
0.06638	3	0.00143009
0.0678101	1	0.00143009
0.0692402	0	0.00143009
0.0706703	1	0.00143009
0.0721003	0	0.00143009
0.0735304	0	0.00143009
0.0749605	0	0.00143009
0.0763906	0	0.00143009
0.0778207	1	0.00143009

