# Lower Bound	Count	Width
4	8	3.24
7.24	17	3.24
10.48	43	3.24
13.72	101	3.24
16.96	263	3.24
20.2	315	3.24
23.44	500	3.24
26.68	669	3.24
29.92	1236	3.24
33.16	1277	3.24
36.4	1679	3.24
39.64	2034	3.24
42.88	3629	3.24
46.12	3412	3.24
49.36	4056	3.24
52.6	5012	3.24
55.84	8075	3.24
59.08	7500	3.24
62.32	8584	3.24
65.56	9893	3.24001
68.8	15676	3.24
72.04	13655	3.24
75.28	15391	3.24
78.52	17493	3.24001
81.76	19590	3.24
85	30213	3.24
88.24	25969	3.24001
91.48	29195	3.24
94.72	32352	3.24
97.96	47014	3.24
101.2	37933	3.24001
104.44	38943	3.24
107.68	39287	3.24
110.92	50866	3.24001
114.16	35320	3.24
117.4	32025	3.24
120.64	27954	3.24
123.88	29968	3.24001
127.12	17058	3.24
130.36	12525	3.24001
133.6	8674	3.23999
136.84	7191	3.24001
140.08	2926	3.24001
143.32	1620	3.23999
146.56	844	3.24001
149.8	438	3.23999
153.04	112	3.24001
156.28	52	3.24001
159.52	13	3.23999
162.76	2	3.24001

