# Lower Bound	Count	Width
4	12	3
7	46	3
10	138	3
13	273	3
16	464	3
19	655	3
22	967	3
25	1284	3
28	1666	3
31	2141	3
34	2573	3
37	2968	3
40	3366	3
43	3793	3
46	4142	3
49	4341	3
52	4649	3
55	4755	3
58	4909	3
61	4889	3
64	4961	3
67	4956	3
70	4888	3
73	4716	3
76	4597	3
79	4590	3
82	4357	3
85	3990	3
88	3804	3
91	3519	3
94	3220	3
97	2743	3
100	2426	3
103	2022	3
106	1816	3
109	1491	3
112	1147	3
115	916	3
118	709	3
121	516	3
124	358	3
127	237	3
130	161	3
133	91	3
136	51	3
139	21	3
142	10	3
145	9	3
148	4	3
151	0	3

