# Lower Bound	Count	Width
6	4	3.04
9.04	8	3.04
12.08	19	3.04
15.12	35	3.04
18.16	65	3.04
21.2	93	3.04
24.24	129	3.04
27.28	209	3.04
30.32	253	3.04
33.36	306	3.04
36.4	359	3.04
39.44	465	3.04
42.48	536	3.04
45.52	593	3.04
48.56	691	3.04
51.6	788	3.04
54.64	873	3.04
57.68	970	3.04
60.72	1130	3.04
63.76	1231	3.04
66.8	1318	3.03999
69.84	1455	3.04
72.88	1510	3.04
75.92	1638	3.04
78.96	1813	3.04
82	2665	3.04
85.04	2142	3.04
88.08	2252	3.04
91.12	2351	3.03999
94.16	2410	3.04
97.2	2456	3.04
100.24	2419	3.04
103.28	2423	3.04
106.32	2331	3.04
109.36	2192	3.04
112.4	1978	3.04
115.44	1643	3.04
118.48	1452	3.03999
121.52	1140	3.04
124.56	852	3.04
127.6	617	3.04
130.64	454	3.03999
133.68	244	3.04001
136.72	155	3.03999
139.76	108	3.04001
142.8	53	3.03999
145.84	21	3.04001
148.88	9	3.03999
151.92	8	3.04001
154.96	1	3.03999

