# Lower Bound	Count	Width
0.00107124	36642	0.0022343
0.00330554	35156	0.0022343
0.00553984	23197	0.0022343
0.00777414	16305	0.0022343
0.0100084	12327	0.0022343
0.0122427	9305	0.0022343
0.014477	7374	0.0022343
0.0167113	5853	0.0022343
0.0189456	4555	0.0022343
0.0211799	3703	0.0022343
0.0234142	3091	0.0022343
0.0256485	2532	0.0022343
0.0278828	2092	0.0022343
0.0301171	1622	0.0022343
0.0323514	1377	0.0022343
0.0345857	1126	0.0022343
0.03682	935	0.0022343
0.0390543	700	0.0022343
0.0412886	587	0.0022343
0.0435229	437	0.0022343
0.0457572	372	0.0022343
0.0479915	296	0.0022343
0.0502258	300	0.0022343
0.0524601	220	0.0022343
0.0546944	181	0.0022343
0.0569287	155	0.0022343
0.059163	127	0.0022343
0.0613973	83	0.0022343
0.0636316	59	0.0022343
0.0658659	53	0.0022343
0.0681002	44	0.0022343
0.0703345	47	0.0022343
0.0725688	28	0.0022343
0.0748031	32	0.0022343
0.0770374	18	0.0022343
0.0792717	21	0.0022343
0.081506	10	0.0022343
0.0837403	10	0.0022343
0.0859746	8	0.0022343
0.0882088	6	0.0022343
0.0904431	5	0.0022343
0.0926774	3	0.0022343
0.0949117	1	0.0022343
0.097146	0	0.0022343
0.0993803	2	0.0022343
0.101615	2	0.0022343
0.103849	0	0.0022343
0.106083	0	0.0022343
0.108318	0	0.0022343
0.110552	1	0.0022343

