# Lower Bound	Count	Width
6	9	2.78
8.78	41	2.78
11.56	94	2.78
14.34	154	2.78
17.12	167	2.78
19.9	346	2.78
22.68	501	2.78
25.46	604	2.78
28.24	781	2.78
31.02	566	2.78
33.8	933	2.78
36.58	1072	2.78
39.36	1006	2.78
42.14	729	2.78
44.92	1116	2.78
47.7	1114	2.78
50.48	1171	2.78
53.26	1086	2.78
56.04	738	2.78
58.82	1082	2.78
61.6	1048	2.78
64.38	974	2.78
67.16	632	2.78001
69.94	829	2.78
72.72	842	2.78
75.5	773	2.78
78.28	775	2.78
81.06	459	2.78
83.84	639	2.78001
86.62	585	2.78
89.4	538	2.78
92.18	329	2.78
94.96	430	2.78
97.74	392	2.78
100.52	320	2.78001
103.3	277	2.78
106.08	157	2.78
108.86	200	2.78
111.64	143	2.78
114.42	118	2.78
117.2	56	2.78001
119.98	78	2.78
122.76	53	2.78
125.54	27	2.78001
128.32	18	2.78
131.1	5	2.78
133.88	8	2.78
136.66	7	2.78
139.44	1	2.78
142.22	1	2.78

