# Lower Bound	Count	Width
-5.96046e-07	92	2.94
2.94	731	2.94
5.88	1638	2.94
8.82	2348	2.94
11.76	2784	2.94
14.7	2834	2.94
17.64	3030	2.94
20.58	3015	2.94
23.52	2935	2.94
26.46	2770	2.94
29.4	2728	2.94
32.34	2583	2.94
35.28	2523	2.94
38.22	2409	2.94
41.16	2378	2.94
44.1	2286	2.94
47.04	1433	2.94
49.98	2000	2.94
52.92	1970	2.94
55.86	1803	2.94
58.8	1792	2.94
61.74	1651	2.94
64.68	1432	2.94
67.62	1437	2.93999
70.56	1190	2.94
73.5	1045	2.94
76.44	967	2.93999
79.38	767	2.94
82.32	677	2.94
85.26	593	2.93999
88.2	564	2.94
91.14	490	2.94
94.08	381	2.93999
97.02	232	2.94
99.96	272	2.94
102.9	257	2.93999
105.84	200	2.94
108.78	183	2.94
111.72	132	2.94
114.66	104	2.93999
117.6	85	2.94
120.54	76	2.94
123.48	58	2.93999
126.42	44	2.94
129.36	37	2.94
132.3	23	2.94
135.24	25	2.93999
138.18	11	2.94
141.12	8	2.94
144.06	6	2.94

