# Lower Bound	Count	Width
0.000999407	70663	0.000910396
0.0019098	34303	0.000910396
0.0028202	21877	0.000910396
0.0037306	15988	0.000910396
0.00464099	12508	0.000910397
0.00555139	10479	0.000910396
0.00646179	8406	0.000910397
0.00737218	7000	0.000910396
0.00828258	5518	0.000910397
0.00919298	4230	0.000910397
0.0101034	3263	0.000910397
0.0110138	2878	0.000910396
0.0119242	2230	0.000910397
0.0128346	2099	0.000910397
0.013745	2090	0.000910397
0.0146554	1789	0.000910396
0.0155658	1563	0.000910397
0.0164761	1295	0.000910398
0.0173865	1164	0.000910396
0.0182969	1129	0.000910396
0.0192073	900	0.000910398
0.0201177	861	0.000910396
0.0210281	703	0.000910396
0.0219385	624	0.000910398
0.0228489	500	0.000910396
0.0237593	442	0.000910398
0.0246697	392	0.000910396
0.0255801	388	0.000910396
0.0264905	353	0.000910398
0.0274009	289	0.000910396
0.0283113	248	0.000910398
0.0292217	205	0.000910396
0.0301321	131	0.000910396
0.0310425	117	0.000910398
0.0319529	123	0.000910398
0.0328633	117	0.000910394
0.0337737	110	0.000910398
0.0346841	73	0.000910398
0.0355945	46	0.000910394
0.0365049	57	0.000910398
0.0374153	65	0.000910398
0.0383257	61	0.000910394
0.0392361	56	0.000910398
0.0401465	61	0.000910398
0.0410569	34	0.000910398
0.0419673	21	0.000910394
0.0428776	11	0.000910398
0.043788	20	0.000910398
0.0446984	18	0.000910394
0.0456088	7	0.000910398

