# Lower Bound	Count	Width
4.8	91579	1.19562
5.99562	2326	1.19562
7.19123	42148	1.19562
8.38685	0	1.19562
9.58247	72	1.19562
10.7781	27257	1.19562
11.9737	0	1.19562
13.1693	1604	1.19562
14.3649	0	1.19562
15.5606	30605	1.19562
16.7562	0	1.19562
17.9518	0	1.19562
19.1474	93	1.19562
20.343	0	1.19562
21.5386	0	1.19562
22.7343	10022	1.19562
23.9299	0	1.19562
25.1255	0	1.19562
26.3211	891	1.19562
27.5167	0	1.19562
28.7123	0	1.19562
29.908	0	1.19562
31.1036	9238	1.19562
32.2992	0	1.19562
33.4948	0	1.19562
34.6904	0	1.19561
35.886	0	1.19562
37.0817	0	1.19562
38.2773	51	1.19562
39.4729	0	1.19562
40.6685	0	1.19561
41.8641	0	1.19562
43.0597	0	1.19562
44.2554	0	1.19562
45.451	1365	1.19562
46.6466	0	1.19562
47.8422	0	1.19561
49.0378	0	1.19562
50.2334	0	1.19562
51.4291	0	1.19562
52.6247	0	1.19562
53.8203	129	1.19561
55.0159	0	1.19562
56.2115	0	1.19562
57.4071	0	1.19562
58.6028	0	1.19562
59.7984	0	1.19562
60.994	0	1.19561
62.1896	0	1.19562
63.3852	0	1.19562

