# Lower Bound	Count	Width
-5.96046e-07	1625	2.92
2.92	2564	2.92
5.84	5150	2.92
8.76	6651	2.92
11.68	7231	2.92
14.6	7210	2.92
17.52	6659	2.92
20.44	5873	2.92
23.36	5190	2.92
26.28	4415	2.92
29.2	3666	2.92
32.12	3022	2.92
35.04	1872	2.92
37.96	2362	2.92
40.88	2016	2.92
43.8	1696	2.92
46.72	1463	2.92
49.64	1212	2.92
52.56	1043	2.92
55.48	857	2.92
58.4	794	2.92
61.32	622	2.92
64.24	527	2.92
67.16	485	2.92001
70.08	275	2.92
73	346	2.92
75.92	282	2.92
78.84	267	2.92001
81.76	234	2.92
84.68	178	2.92
87.6	142	2.92
90.52	121	2.92001
93.44	111	2.92
96.36	110	2.92
99.28	77	2.92
102.2	58	2.92001
105.12	51	2.92
108.04	22	2.92
110.96	46	2.92
113.88	23	2.92001
116.8	13	2.92
119.72	14	2.92
122.64	10	2.92
125.56	14	2.92
128.48	2	2.92
131.4	4	2.92001
134.32	4	2.92
137.24	3	2.92
140.16	0	2.92
143.08	1	2.92

