# Lower Bound	Count	Width
24	2	4.6
28.6	0	4.6
33.2	0	4.6
37.8	0	4.6
42.4	0	4.6
47	0	4.6
51.6	1	4.6
56.2	0	4.6
60.8	0	4.6
65.4	1	4.6
70	0	4.6
74.6	5	4.6
79.2	18	4.60001
83.8	16	4.6
88.4	15	4.6
93	25	4.6
97.6	55	4.6
102.2	39	4.60001
106.8	109	4.6
111.4	90	4.6
116	104	4.6
120.6	139	4.6
125.2	200	4.60001
129.8	36	4.59999
134.4	31	4.60001
139	23	4.60001
143.6	27	4.59999
148.2	18	4.60001
152.8	16	4.59999
157.4	17	4.60001
162	10	4.60001
166.6	9	4.59999
171.2	12	4.60001
175.8	21	4.59999
180.4	5	4.60001
185	4	4.60001
189.6	9	4.59999
194.2	6	4.60001
198.8	3	4.59999
203.4	2	4.60001
208	4	4.60001
212.6	3	4.59999
217.2	2	4.60001
221.8	3	4.59999
226.4	3	4.60001
231	3	4.60001
235.6	1	4.59999
240.2	1	4.60001
244.8	1	4.59999
249.4	56	4.60001

