# Lower Bound	Count	Width
11	1	1.74
12.74	0	1.74
14.48	1	1.74
16.22	1	1.74
17.96	3	1.74
19.7	1	1.74
21.44	6	1.74
23.18	3	1.74
24.92	6	1.74
26.66	9	1.74
28.4	14	1.74
30.14	10	1.74
31.88	15	1.74
33.62	23	1.74
35.36	24	1.74
37.1	17	1.74
38.84	40	1.74
40.58	64	1.74
42.32	73	1.74
44.06	34	1.74
45.8	129	1.74
47.54	183	1.74
49.28	234	1.74
51.02	169	1.74
52.76	390	1.74
54.5	559	1.74
56.24	351	1.74
57.98	868	1.74
59.72	1176	1.74
61.46	1580	1.74
63.2	944	1.74
64.94	2273	1.74
66.68	2860	1.74
68.42	3691	1.74
70.16	2105	1.74001
71.9	4684	1.74
73.64	5603	1.74
75.38	6126	1.74001
77.12	3141	1.74
78.86	6035	1.74
80.6	5456	1.74
82.34	4397	1.74001
84.08	1730	1.74
85.82	2539	1.74
87.56	1397	1.74001
89.3	661	1.74
91.04	137	1.74
92.78	144	1.74
94.52	28	1.74001
96.26	4	1.74

