# Lower Bound	Count	Width
28	2	4.52
32.52	1	4.52
37.04	1	4.52
41.56	0	4.52
46.08	0	4.52
50.6	1	4.52
55.12	0	4.52
59.64	1	4.52
64.16	0	4.52
68.68	2	4.52
73.2	1	4.52
77.72	0	4.52
82.24	1	4.52
86.76	1	4.52
91.28	1	4.52
95.8	0	4.52
100.32	1	4.52
104.84	0	4.52
109.36	0	4.52
113.88	0	4.52
118.4	0	4.52
122.92	0	4.52
127.44	0	4.52
131.96	0	4.51999
136.48	0	4.52
141	0	4.52
145.52	0	4.51999
150.04	0	4.52
154.56	0	4.52
159.08	0	4.52
163.6	67	4.51999
168.12	575	4.52
172.64	756	4.52
177.16	936	4.51999
181.68	1520	4.52
186.2	1622	4.52
190.72	2626	4.52
195.24	2641	4.51999
199.76	4532	4.52
204.28	4808	4.52
208.8	8069	4.52
213.32	8111	4.51999
217.84	12759	4.52
222.36	13711	4.52
226.88	19590	4.51999
231.4	15903	4.52
235.92	19806	4.52
240.44	14546	4.52
244.96	17322	4.51999
249.48	10683	4.52

