# Lower Bound	Count	Width
22	1	1.42
23.42	0	1.42
24.84	1	1.42
26.26	1	1.42
27.68	5	1.42
29.1	3	1.42
30.52	6	1.42
31.94	8	1.42
33.36	5	1.42
34.78	11	1.42
36.2	8	1.42
37.62	12	1.42
39.04	12	1.42
40.46	15	1.42
41.88	27	1.42
43.3	18	1.42
44.72	34	1.42
46.14	25	1.42
47.56	13	1.42
48.98	54	1.42
50.4	17	1.42
51.82	53	1.42
53.24	34	1.42
54.66	79	1.42
56.08	39	1.42
57.5	42	1.42
58.92	81	1.42
60.34	38	1.42
61.76	97	1.42
63.18	41	1.42
64.6	77	1.42
66.02	49	1.42001
67.44	40	1.42
68.86	65	1.42
70.28	40	1.42
71.7	77	1.42001
73.12	34	1.42
74.54	34	1.42
75.96	43	1.42
77.38	16	1.42001
78.8	39	1.42
80.22	15	1.42
81.64	8	1.42
83.06	5	1.42001
84.48	7	1.42
85.9	3	1.42
87.32	1	1.42
88.74	0	1.42001
90.16	0	1.42
91.58	1	1.42

