# Lower Bound	Count	Width
24	3	1.4
25.4	1	1.4
26.8	1	1.4
28.2	0	1.4
29.6	1	1.4
31	4	1.4
32.4	0	1.4
33.8	2	1.4
35.2	4	1.4
36.6	5	1.4
38	8	1.4
39.4	3	1.4
40.8	12	1.4
42.2	4	1.4
43.6	5	1.4
45	17	1.4
46.4	16	1.4
47.8	29	1.4
49.2	19	1.4
50.6	14	1.4
52	50	1.4
53.4	24	1.4
54.8	64	1.4
56.2	36	1.4
57.6	48	1.4
59	104	1.4
60.4	70	1.4
61.8	168	1.4
63.2	101	1.4
64.6	120	1.4
66	246	1.4
67.4	170	1.4
68.8	280	1.39999
70.2	178	1.4
71.6	184	1.4
73	401	1.4
74.4	183	1.4
75.8	394	1.39999
77.2	195	1.4
78.6	182	1.4
80	331	1.4
81.4	119	1.4
82.8	186	1.39999
84.2	75	1.4
85.6	42	1.4
87	76	1.4
88.4	18	1.4
89.8	17	1.39999
91.2	1	1.4
92.6	3	1.4

