# Lower Bound	Count	Width
0.00708003	114	0.0010735
0.00815353	682	0.0010735
0.00922703	1399	0.0010735
0.0103005	1482	0.0010735
0.011374	1419	0.0010735
0.0124475	1224	0.0010735
0.013521	1068	0.0010735
0.0145945	883	0.0010735
0.015668	755	0.0010735
0.0167415	639	0.0010735
0.017815	524	0.0010735
0.0188885	397	0.0010735
0.019962	338	0.0010735
0.0210355	311	0.0010735
0.022109	212	0.0010735
0.0231825	201	0.0010735
0.024256	143	0.0010735
0.0253295	130	0.0010735
0.026403	95	0.0010735
0.0274765	70	0.0010735
0.02855	62	0.0010735
0.0296235	47	0.0010735
0.030697	31	0.0010735
0.0317705	32	0.0010735
0.032844	21	0.0010735
0.0339175	17	0.0010735
0.034991	18	0.0010735
0.0360645	13	0.0010735
0.037138	8	0.0010735
0.0382115	7	0.0010735
0.039285	3	0.0010735
0.0403586	2	0.0010735
0.041432	6	0.0010735
0.0425056	6	0.0010735
0.0435791	1	0.0010735
0.0446526	3	0.0010735
0.0457261	1	0.0010735
0.0467996	2	0.0010735
0.0478731	1	0.0010735
0.0489466	0	0.0010735
0.0500201	0	0.0010735
0.0510936	1	0.0010735
0.0521671	1	0.0010735
0.0532406	0	0.0010735
0.0543141	0	0.0010735
0.0553876	0	0.0010735
0.0564611	0	0.0010735
0.0575346	0	0.0010735
0.0586081	0	0.0010735
0.0596816	1	0.0010735

