# Lower Bound	Count	Width
24	1	1.28
25.28	0	1.28
26.56	0	1.28
27.84	0	1.28
29.12	1	1.28
30.4	0	1.28
31.68	1	1.28
32.96	3	1.28
34.24	4	1.28
35.52	2	1.28
36.8	4	1.28
38.08	5	1.28
39.36	4	1.28
40.64	2	1.28
41.92	9	1.28
43.2	4	1.28
44.48	9	1.28
45.76	9	1.28
47.04	8	1.28
48.32	6	1.28
49.6	10	1.28
50.88	10	1.28
52.16	6	1.28
53.44	9	1.28
54.72	6	1.28
56	19	1.28
57.28	13	1.28
58.56	8	1.28
59.84	21	1.28
61.12	6	1.28
62.4	8	1.28
63.68	5	1.28
64.96	16	1.28
66.24	11	1.28
67.52	9	1.28001
68.8	16	1.28
70.08	5	1.28
71.36	9	1.28
72.64	5	1.28
73.92	11	1.28
75.2	5	1.28001
76.48	3	1.28
77.76	5	1.28
79.04	0	1.28
80.32	2	1.28
81.6	1	1.28
82.88	0	1.28001
84.16	0	1.28
85.44	0	1.28
86.72	1	1.28

