# Lower Bound	Count	Width
0.999999	11	1.88
2.88	24	1.88
4.76	55	1.88
6.64	118	1.88
8.52	143	1.88
10.4	233	1.88
12.28	330	1.88
14.16	417	1.88
16.04	233	1.88
17.92	538	1.88
19.8	547	1.88
21.68	533	1.88
23.56	561	1.88
25.44	521	1.88
27.32	566	1.88
29.2	512	1.88
31.08	234	1.88
32.96	451	1.88
34.84	451	1.88
36.72	429	1.88
38.6	355	1.88
40.48	385	1.88
42.36	333	1.88
44.24	353	1.88
46.12	304	1.88
48	149	1.88
49.88	254	1.88
51.76	196	1.88
53.64	238	1.88
55.52	172	1.88
57.4	155	1.88
59.28	137	1.88
61.16	140	1.88
63.04	66	1.88
64.92	79	1.88
66.8	80	1.88
68.68	63	1.88
70.56	37	1.88
72.44	32	1.88
74.32	19	1.88
76.2	22	1.88
78.08	12	1.88
79.96	15	1.88
81.84	6	1.88
83.72	5	1.88
85.6	0	1.88
87.48	2	1.88
89.36	3	1.88
91.24	0	1.88
93.12	1	1.88

