# Lower Bound	Count	Width
-0.000246414	11	0.000124777
-0.000121637	8	0.000124777
3.13982e-06	12746	0.000124777
0.000127917	17566	0.000124777
0.000252694	6504	0.000124777
0.000377471	3010	0.000124777
0.000502248	1705	0.000124777
0.000627025	1109	0.000124777
0.000751802	739	0.000124777
0.000876579	540	0.000124777
0.00100136	389	0.000124777
0.00112613	303	0.000124777
0.00125091	204	0.000124777
0.00137569	206	0.000124777
0.00150046	144	0.000124777
0.00162524	137	0.000124777
0.00175002	110	0.000124777
0.00187479	76	0.000124777
0.00199957	66	0.000124777
0.00212435	43	0.000124777
0.00224913	40	0.000124777
0.0023739	39	0.000124777
0.00249868	31	0.000124777
0.00262346	14	0.000124777
0.00274823	14	0.000124777
0.00287301	15	0.000124777
0.00299779	4	0.000124777
0.00312256	9	0.000124777
0.00324734	9	0.000124777
0.00337212	5	0.000124777
0.00349689	3	0.000124777
0.00362167	3	0.000124777
0.00374645	3	0.000124777
0.00387123	1	0.000124777
0.003996	1	0.000124777
0.00412078	0	0.000124777
0.00424556	0	0.000124777
0.00437033	3	0.000124777
0.00449511	0	0.000124777
0.00461989	0	0.000124777
0.00474466	0	0.000124777
0.00486944	0	0.000124777
0.00499422	0	0.000124777
0.005119	0	0.000124777
0.00524377	0	0.000124777
0.00536855	0	0.000124777
0.00549333	0	0.000124777
0.0056181	0	0.000124777
0.00574288	0	0.000124777
0.00586766	1	0.000124777

