# Lower Bound	Count	Width
-5.96046e-07	220	1.7
1.7	14	1.7
3.4	27	1.7
5.1	38	1.7
6.8	114	1.7
8.5	174	1.7
10.2	119	1.7
11.9	305	1.7
13.6	380	1.7
15.3	225	1.7
17	568	1.7
18.7	609	1.7
20.4	621	1.7
22.1	331	1.7
23.8	651	1.7
25.5	625	1.7
27.2	325	1.7
28.9	548	1.7
30.6	562	1.7
32.3	265	1.7
34	481	1.7
35.7	438	1.7
37.4	409	1.7
39.1	192	1.7
40.8	314	1.7
42.5	279	1.7
44.2	126	1.7
45.9	216	1.7
47.6	196	1.7
49.3	71	1.7
51	136	1.7
52.7	127	1.7
54.4	110	1.7
56.1	50	1.7
57.8	69	1.7
59.5	69	1.7
61.2	25	1.7
62.9	53	1.7
64.6	37	1.7
66.3	14	1.7
68	21	1.7
69.7	17	1.7
71.4	3	1.7
73.1	8	1.7
74.8	7	1.7
76.5	5	1.7
78.2	2	1.7
79.9	3	1.7
81.6	3	1.7
83.3	0	1.7

