# Lower Bound	Count	Width
-0.0032345	1	0.000689622
-0.00254488	1	0.000689623
-0.00185525	6	0.000689622
-0.00116563	12	0.000689623
-0.00047601	41	0.000689623
0.000213613	34	0.000689623
0.000903235	19	0.000689622
0.00159286	30	0.000689623
0.00228248	27	0.000689622
0.0029721	24	0.000689622
0.00366173	25	0.000689622
0.00435135	34	0.000689622
0.00504097	20	0.000689623
0.00573059	17	0.000689622
0.00642022	15	0.000689622
0.00710984	27	0.000689622
0.00779946	173	0.000689623
0.00848908	165	0.000689622
0.00917871	198	0.000689623
0.00986833	139	0.000689622
0.010558	100	0.000689623
0.0112476	107	0.000689622
0.0119372	94	0.000689623
0.0126268	77	0.000689622
0.0133164	45	0.000689623
0.0140061	66	0.000689623
0.0146957	55	0.000689622
0.0153853	40	0.000689623
0.0160749	45	0.000689622
0.0167646	30	0.000689622
0.0174542	27	0.000689624
0.0181438	20	0.000689622
0.0188334	14	0.000689622
0.019523	10	0.000689624
0.0202127	13	0.000689622
0.0209023	7	0.000689622
0.0215919	5	0.000689622
0.0222815	5	0.000689624
0.0229712	4	0.000689622
0.0236608	4	0.000689622
0.0243504	4	0.000689622
0.02504	4	0.000689624
0.0257296	2	0.000689622
0.0264193	2	0.000689622
0.0271089	3	0.000689624
0.0277985	2	0.000689622
0.0284881	0	0.000689622
0.0291778	0	0.000689622
0.0298674	0	0.000689624
0.030557	1	0.000689622

