# Lower Bound	Count	Width
2	2	1.94
3.94	1	1.94
5.88	1	1.94
7.82	5	1.94
9.76	9	1.94
11.7	11	1.94
13.64	12	1.94
15.58	24	1.94
17.52	27	1.94
19.46	46	1.94
21.4	41	1.94
23.34	47	1.94
25.28	48	1.94
27.22	64	1.94
29.16	75	1.94
31.1	105	1.94
33.04	55	1.94
34.98	150	1.94
36.92	202	1.94
38.86	275	1.94
40.8	355	1.94
42.74	408	1.94
44.68	573	1.94
46.62	744	1.94
48.56	872	1.94
50.5	1045	1.94
52.44	1285	1.94
54.38	1553	1.94
56.32	1743	1.94
58.26	2147	1.94
60.2	2450	1.94
62.14	2799	1.94
64.08	3119	1.93999
66.02	1666	1.94
67.96	3633	1.94
69.9	3898	1.93999
71.84	4172	1.94
73.78	4245	1.94
75.72	4053	1.94
77.66	3553	1.93999
79.6	2931	1.94
81.54	2241	1.94
83.48	1466	1.93999
85.42	825	1.94
87.36	442	1.94
89.3	188	1.93999
91.24	69	1.94
93.18	14	1.94
95.12	3	1.93999
97.06	1	1.94

