# Lower Bound	Count	Width
20	2186	4.68
24.68	1255	4.68
29.36	735	4.68
34.04	401	4.68
38.72	296	4.68
43.4	259	4.68
48.08	137	4.68
52.76	121	4.68
57.44	84	4.68
62.12	57	4.68
66.8	69	4.68
71.48	69	4.68
76.16	41	4.67999
80.84	38	4.68
85.52	25	4.68
90.2	22	4.68
94.88	32	4.68
99.56	30	4.68
104.24	20	4.68
108.92	18	4.68
113.6	16	4.68
118.28	16	4.68
122.96	32	4.68
127.64	33	4.68001
132.32	7	4.67999
137	28	4.67999
141.68	10	4.68001
146.36	16	4.67999
151.04	14	4.68001
155.72	20	4.67999
160.4	14	4.68001
165.08	13	4.67999
169.76	62	4.68001
174.44	89	4.67999
179.12	129	4.68001
183.8	170	4.67999
188.48	292	4.68001
193.16	375	4.67999
197.84	689	4.68001
202.52	875	4.67999
207.2	982	4.68001
211.88	1850	4.67999
216.56	2181	4.68001
221.24	2440	4.67999
225.92	4986	4.68001
230.6	8550	4.67999
235.28	11419	4.68001
239.96	26532	4.67999
244.64	43918	4.68001
249.32	42505	4.67999

