# Lower Bound	Count	Width
31	163747	1.60157
32.6016	0	1.60157
34.2031	0	1.60157
35.8047	6483	1.60157
37.4063	0	1.60157
39.0079	0	1.60157
40.6094	0	1.60157
42.211	0	1.60157
43.8126	139	1.60157
45.4142	0	1.60157
47.0157	0	1.60157
48.6173	0	1.60157
50.2189	0	1.60157
51.8204	0	1.60157
53.422	13	1.60157
55.0236	0	1.60157
56.6252	0	1.60157
58.2267	0	1.60157
59.8283	0	1.60157
61.4299	0	1.60157
63.0315	1	1.60157
64.633	0	1.60157
66.2346	0	1.60158
67.8362	0	1.60157
69.4377	0	1.60158
71.0393	0	1.60157
72.6409	0	1.60157
74.2425	0	1.60158
75.844	2	1.60157
77.4456	0	1.60157
79.0472	0	1.60158
80.6488	0	1.60157
82.2503	0	1.60157
83.8519	0	1.60158
85.4535	0	1.60157
87.055	0	1.60157
88.6566	0	1.60158
90.2582	0	1.60157
91.8598	1	1.60157
93.4613	0	1.60158
95.0629	0	1.60157
96.6645	0	1.60157
98.2661	0	1.60158
99.8676	0	1.60157
101.469	0	1.60157
103.071	0	1.60158
104.672	0	1.60157
106.274	0	1.60157
107.875	0	1.60158
109.477	0	1.60157

