# Lower Bound	Count	Width
2	1	1.76
3.76	2	1.76
5.52	0	1.76
7.28	0	1.76
9.04	0	1.76
10.8	4	1.76
12.56	6	1.76
14.32	6	1.76
16.08	4	1.76
17.84	9	1.76
19.6	9	1.76
21.36	18	1.76
23.12	16	1.76
24.88	27	1.76
26.64	33	1.76
28.4	44	1.76
30.16	18	1.76
31.92	59	1.76
33.68	79	1.76
35.44	66	1.76
37.2	43	1.76
38.96	81	1.76
40.72	106	1.76
42.48	119	1.76
44.24	64	1.76
46	138	1.76
47.76	121	1.76
49.52	153	1.76
51.28	154	1.76
53.04	67	1.76
54.8	130	1.76
56.56	157	1.76
58.32	131	1.76
60.08	66	1.76
61.84	139	1.76
63.6	133	1.76
65.36	116	1.76
67.12	54	1.75999
68.88	87	1.76
70.64	87	1.76
72.4	64	1.76
74.16	29	1.75999
75.92	40	1.76
77.68	21	1.76
79.44	13	1.75999
81.2	2	1.76
82.96	9	1.76
84.72	3	1.76
86.48	0	1.75999
88.24	1	1.76

