# Lower Bound	Count	Width
10	1	1.6
11.6	1	1.6
13.2	1	1.6
14.8	4	1.6
16.4	1	1.6
18	4	1.6
19.6	7	1.6
21.2	4	1.6
22.8	8	1.6
24.4	2	1.6
26	14	1.6
27.6	13	1.6
29.2	6	1.6
30.8	21	1.6
32.4	12	1.6
34	24	1.6
35.6	38	1.6
37.2	18	1.6
38.8	56	1.6
40.4	27	1.6
42	61	1.6
43.6	60	1.6
45.2	40	1.6
46.8	79	1.6
48.4	40	1.6
50	108	1.6
51.6	116	1.6
53.2	79	1.6
54.8	157	1.6
56.4	83	1.6
58	220	1.6
59.6	194	1.6
61.2	111	1.6
62.8	250	1.6
64.4	113	1.6
66	253	1.6
67.6	229	1.6
69.2	143	1.60001
70.8	226	1.6
72.4	85	1.6
74	177	1.6
75.6	133	1.6
77.2	43	1.60001
78.8	61	1.6
80.4	22	1.6
82	34	1.6
83.6	19	1.6
85.2	10	1.60001
86.8	8	1.6
88.4	1	1.6

