# Lower Bound	Count	Width
-0.00205749	21	0.00127963
-0.000777862	267	0.00127963
0.00050177	122	0.00127963
0.0017814	68	0.00127963
0.00306103	60	0.00127963
0.00434066	108	0.00127963
0.0056203	336	0.00127963
0.00689993	896	0.00127963
0.00817956	1772	0.00127963
0.00945919	1799	0.00127963
0.0107388	1610	0.00127963
0.0120185	1383	0.00127963
0.0132981	1133	0.00127963
0.0145777	930	0.00127963
0.0158574	682	0.00127963
0.017137	574	0.00127963
0.0184166	409	0.00127963
0.0196962	327	0.00127963
0.0209759	220	0.00127963
0.0222555	195	0.00127963
0.0235351	139	0.00127963
0.0248148	92	0.00127963
0.0260944	76	0.00127963
0.027374	50	0.00127963
0.0286537	38	0.00127963
0.0299333	19	0.00127963
0.0312129	22	0.00127963
0.0324926	14	0.00127963
0.0337722	14	0.00127963
0.0350518	3	0.00127963
0.0363315	9	0.00127963
0.0376111	5	0.00127963
0.0388907	4	0.00127963
0.0401704	3	0.00127963
0.04145	3	0.00127963
0.0427296	2	0.00127963
0.0440092	0	0.00127963
0.0452889	2	0.00127963
0.0465685	3	0.00127963
0.0478481	0	0.00127963
0.0491278	0	0.00127963
0.0504074	1	0.00127963
0.051687	1	0.00127963
0.0529667	0	0.00127963
0.0542463	1	0.00127963
0.0555259	0	0.00127963
0.0568056	2	0.00127963
0.0580852	1	0.00127963
0.0593648	0	0.00127963
0.0606445	1	0.00127963

