# Lower Bound	Count	Width
31	12369	0.665632
31.6656	0	0.665632
32.3313	0	0.66563
32.9969	0	0.665634
33.6625	0	0.66563
34.3282	0	0.665634
34.9938	0	0.66563
35.6594	0	0.665634
36.3251	0	0.66563
36.9907	962	0.665634
37.6563	0	0.66563
38.322	0	0.665634
38.9876	0	0.66563
39.6532	0	0.665634
40.3189	0	0.66563
40.9845	0	0.665634
41.6501	0	0.66563
42.3157	0	0.665634
42.9814	0	0.66563
43.647	0	0.665634
44.3126	73	0.66563
44.9783	0	0.665634
45.6439	0	0.66563
46.3095	0	0.665634
46.9752	0	0.66563
47.6408	0	0.66563
48.3064	0	0.665634
48.9721	0	0.66563
49.6377	0	0.665634
50.3033	0	0.66563
50.969	0	0.665634
51.6346	0	0.66563
52.3002	0	0.665634
52.9659	12	0.66563
53.6315	0	0.665634
54.2971	0	0.66563
54.9628	0	0.665634
55.6284	0	0.66563
56.294	0	0.665634
56.9597	0	0.66563
57.6253	0	0.665634
58.2909	0	0.66563
58.9566	0	0.665634
59.6222	0	0.66563
60.2878	0	0.665634
60.9534	0	0.66563
61.6191	0	0.665634
62.2847	0	0.66563
62.9503	0	0.665634
63.616	0	0.66563

