# Lower Bound	Count	Width
12	6	1.38
13.38	4	1.38
14.76	5	1.38
16.14	5	1.38
17.52	6	1.38
18.9	3	1.38
20.28	9	1.38
21.66	9	1.38
23.04	14	1.38
24.42	6	1.38
25.8	25	1.38
27.18	16	1.38
28.56	19	1.38
29.94	45	1.38
31.32	25	1.38
32.7	59	1.38
34.08	25	1.38
35.46	30	1.38
36.84	60	1.38
38.22	30	1.38
39.6	36	1.38
40.98	61	1.38
42.36	27	1.38
43.74	86	1.38
45.12	47	1.38
46.5	27	1.38
47.88	60	1.38
49.26	40	1.38
50.64	62	1.38
52.02	36	1.38
53.4	32	1.38
54.78	45	1.38
56.16	20	1.38
57.54	37	1.38
58.92	55	1.38
60.3	17	1.38
61.68	39	1.38
63.06	17	1.38
64.44	19	1.38
65.82	26	1.38
67.2	6	1.38
68.58	13	1.38
69.96	16	1.38
71.34	5	1.38
72.72	9	1.38
74.1	1	1.38
75.48	1	1.38
76.86	1	1.38
78.24	1	1.38
79.62	1	1.38

