# Lower Bound	Count	Width
5	7	1.72
6.72	18	1.72
8.44	49	1.72
10.16	39	1.72
11.88	168	1.72
13.6	241	1.72
15.32	335	1.72
17.04	177	1.72
18.76	400	1.72
20.48	352	1.72
22.2	169	1.72
23.92	354	1.72
25.64	404	1.72
27.36	430	1.72
29.08	191	1.72
30.8	429	1.72
32.52	413	1.72
34.24	197	1.72
35.96	436	1.72
37.68	408	1.72
39.4	479	1.72
41.12	261	1.72
42.84	496	1.72
44.56	487	1.72
46.28	219	1.72
48	491	1.72
49.72	502	1.72
51.44	455	1.72
53.16	200	1.72
54.88	395	1.72
56.6	390	1.72
58.32	322	1.72
60.04	153	1.72
61.76	260	1.72
63.48	185	1.72
65.2	70	1.72
66.92	141	1.72
68.64	94	1.72
70.36	58	1.72
72.08	17	1.72
73.8	34	1.71999
75.52	29	1.72
77.24	9	1.72
78.96	14	1.72
80.68	7	1.72
82.4	2	1.72
84.12	2	1.71999
85.84	3	1.72
87.56	0	1.72
89.28	0	1.72

