# Lower Bound	Count	Width
20	324	4.66
24.66	156	4.66
29.32	63	4.66
33.98	251	4.66
38.64	58	4.66
43.3	66	4.66
47.96	123	4.66
52.62	46	4.66
57.28	70	4.66
61.94	85	4.66
66.6	125	4.66
71.26	129	4.66
75.92	236	4.66
80.58	415	4.66
85.24	463	4.66
89.9	649	4.66
94.56	695	4.66
99.22	610	4.66
103.88	890	4.66
108.54	1320	4.66
113.2	1198	4.66
117.86	1558	4.66
122.52	1763	4.66
127.18	1327	4.66
131.84	1596	4.66
136.5	1565	4.66
141.16	1219	4.66
145.82	1626	4.65999
150.48	1473	4.66
155.14	1237	4.66
159.8	1406	4.66
164.46	1281	4.65999
169.12	1029	4.66
173.78	4026	4.66
178.44	11865	4.66
183.1	438	4.65999
187.76	577	4.66
192.42	549	4.66
197.08	480	4.66
201.74	536	4.65999
206.4	530	4.66
211.06	376	4.66
215.72	485	4.66
220.38	558	4.65999
225.04	441	4.66
229.7	559	4.66
234.36	571	4.66
239.02	415	4.65999
243.68	592	4.66
248.34	1757	4.66

