# Lower Bound	Count	Width
-5.96046e-07	225	1.6
1.6	15	1.6
3.2	22	1.6
4.8	83	1.6
6.4	65	1.6
8	205	1.6
9.6	296	1.6
11.2	212	1.6
12.8	484	1.6
14.4	253	1.6
16	568	1.6
17.6	575	1.6
19.2	260	1.6
20.8	525	1.6
22.4	286	1.6
24	470	1.6
25.6	491	1.6
27.2	241	1.6
28.8	475	1.6
30.4	268	1.6
32	423	1.6
33.6	432	1.6
35.2	201	1.6
36.8	398	1.6
38.4	162	1.6
40	332	1.6
41.6	346	1.6
43.2	138	1.6
44.8	264	1.6
46.4	126	1.6
48	247	1.6
49.6	223	1.6
51.2	76	1.6
52.8	168	1.6
54.4	74	1.6
56	125	1.6
57.6	73	1.6
59.2	41	1.6
60.8	69	1.6
62.4	28	1.6
64	36	1.6
65.6	33	1.6
67.2	14	1.60001
68.8	11	1.6
70.4	10	1.6
72	7	1.6
73.6	3	1.6
75.2	3	1.60001
76.8	2	1.6
78.4	0	1.6

