# Lower Bound	Count	Width
0.0133376	1071	0.00170376
0.0150413	1035	0.00170376
0.0167451	1034	0.00170376
0.0184488	1059	0.00170375
0.0201526	965	0.00170376
0.0218563	984	0.00170376
0.0235601	856	0.00170376
0.0252638	766	0.00170376
0.0269676	705	0.00170376
0.0286714	648	0.00170376
0.0303751	626	0.00170375
0.0320789	570	0.00170376
0.0337826	520	0.00170375
0.0354864	485	0.00170376
0.0371901	423	0.00170375
0.0388939	364	0.00170375
0.0405976	351	0.00170376
0.0423014	289	0.00170375
0.0440052	300	0.00170376
0.0457089	239	0.00170375
0.0474127	198	0.00170376
0.0491164	215	0.00170375
0.0508202	172	0.00170375
0.0525239	133	0.00170376
0.0542277	87	0.00170375
0.0559314	111	0.00170376
0.0576352	91	0.00170375
0.059339	72	0.00170376
0.0610427	50	0.00170375
0.0627465	38	0.00170376
0.0644502	23	0.00170375
0.066154	24	0.00170375
0.0678577	13	0.00170375
0.0695615	14	0.00170376
0.0712653	19	0.00170375
0.072969	15	0.00170375
0.0746728	13	0.00170375
0.0763765	4	0.00170375
0.0780803	1	0.00170376
0.079784	7	0.00170375
0.0814878	5	0.00170375
0.0831915	2	0.00170375
0.0848953	0	0.00170375
0.086599	2	0.00170376
0.0883028	1	0.00170375
0.0900066	0	0.00170375
0.0917103	0	0.00170375
0.0934141	0	0.00170376
0.0951178	0	0.00170375
0.0968216	1	0.00170375

