# Lower Bound	Count	Width
5.00002	11333	6.57316
11.5732	1935	6.57316
18.1463	583	6.57316
24.7195	306	6.57316
31.2927	143	6.57316
37.8658	93	6.57316
44.439	40	6.57316
51.0121	33	6.57316
57.5853	23	6.57316
64.1585	28	6.57316
70.7316	4	6.57316
77.3048	15	6.57316
83.8779	10	6.57316
90.4511	3	6.57317
97.0243	7	6.57316
103.597	4	6.57316
110.171	2	6.57316
116.744	5	6.57316
123.317	4	6.57316
129.89	3	6.57317
136.463	0	6.57315
143.036	1	6.57317
149.61	2	6.57315
156.183	0	6.57317
162.756	2	6.57317
169.329	1	6.57315
175.902	0	6.57317
182.475	1	6.57315
189.048	0	6.57317
195.622	0	6.57315
202.195	4	6.57317
208.768	1	6.57317
215.341	1	6.57315
221.914	3	6.57317
228.487	2	6.57315
235.061	2	6.57317
241.634	3	6.57317
248.207	1	6.57315
254.78	0	6.57317
261.353	2	6.57315
267.926	0	6.57315
274.5	0	6.57318
281.073	0	6.57315
287.646	0	6.57315
294.219	0	6.57318
300.792	0	6.57315
307.365	0	6.57315
313.939	0	6.57315
320.512	0	6.57318
327.085	0	6.57315

