# Lower Bound	Count	Width
9.64365	19	8.30105
17.9447	39	8.30105
26.2458	63	8.30106
34.5468	81	8.30105
42.8479	122	8.30105
51.1489	166	8.30106
59.45	252	8.30106
67.751	304	8.30105
76.0521	412	8.30106
84.3531	426	8.30106
92.6542	585	8.30106
100.955	630	8.30106
109.256	791	8.30105
117.557	849	8.30106
125.858	827	8.30105
134.159	958	8.30106
142.461	1083	8.30106
150.762	1038	8.30106
159.063	1123	8.30106
167.364	1201	8.30106
175.665	1175	8.30106
183.966	1268	8.30106
192.267	1320	8.30104
200.568	1373	8.30106
208.869	1433	8.30106
217.17	1494	8.30106
225.471	1576	8.30106
233.772	1708	8.30106
242.073	1947	8.30106
250.374	2205	8.30104
258.675	2623	8.30106
266.976	3344	8.30106
275.277	4193	8.30106
283.578	5000	8.30106
291.879	5730	8.30106
300.181	6243	8.30106
308.482	6376	8.30106
316.783	6242	8.30106
325.084	5611	8.30106
333.385	4454	8.30106
341.686	3578	8.30106
349.987	2331	8.30103
358.288	1422	8.30106
366.589	781	8.30106
374.89	388	8.30106
383.191	207	8.30106
391.492	85	8.30106
399.793	25	8.30106
408.094	10	8.30106
416.395	4	8.30106

