# Lower Bound	Count	Width
0.0133329	12965	0.00239587
0.0157288	15400	0.00239587
0.0181247	16793	0.00239587
0.0205205	17799	0.00239587
0.0229164	17173	0.00239587
0.0253123	17316	0.00239587
0.0277081	16204	0.00239587
0.030104	14964	0.00239587
0.0324999	13500	0.00239587
0.0348957	12575	0.00239586
0.0372916	11001	0.00239587
0.0396875	9900	0.00239587
0.0420833	8944	0.00239586
0.0444792	7966	0.00239587
0.0468751	7017	0.00239587
0.0492709	6328	0.00239586
0.0516668	5594	0.00239587
0.0540627	4863	0.00239587
0.0564585	4202	0.00239586
0.0588544	3665	0.00239587
0.0612503	3182	0.00239586
0.0636461	2759	0.00239587
0.066042	2372	0.00239587
0.0684379	1998	0.00239587
0.0708337	1701	0.00239586
0.0732296	1391	0.00239587
0.0756255	1181	0.00239587
0.0780213	1011	0.00239587
0.0804172	780	0.00239587
0.0828131	656	0.00239587
0.0852089	494	0.00239586
0.0876048	419	0.00239587
0.0900007	307	0.00239587
0.0923965	167	0.00239587
0.0947924	200	0.00239587
0.0971883	131	0.00239587
0.0995841	89	0.00239586
0.10198	66	0.00239587
0.104376	55	0.00239587
0.106772	27	0.00239587
0.109168	24	0.00239587
0.111563	22	0.00239586
0.113959	12	0.00239587
0.116355	5	0.00239587
0.118751	1	0.00239587
0.121147	3	0.00239587
0.123543	1	0.00239586
0.125939	0	0.00239587
0.128335	0	0.00239587
0.13073	3	0.00239587

