# Lower Bound	Count	Width
5	171968	4.46434
9.46434	34995	4.46434
13.9287	12518	4.46434
18.393	7881	4.46434
22.8574	4791	4.46434
27.3217	2255	4.46434
31.786	1940	4.46434
36.2504	1373	4.46434
40.7147	1178	4.46434
45.179	628	4.46434
49.6434	799	4.46434
54.1077	370	4.46434
58.5721	240	4.46434
63.0364	321	4.46434
67.5007	212	4.46434
71.9651	126	4.46433
76.4294	183	4.46434
80.8937	187	4.46434
85.3581	130	4.46433
89.8224	74	4.46434
94.2868	118	4.46434
98.7511	107	4.46433
103.215	88	4.46434
107.68	69	4.46433
112.144	23	4.46434
116.608	14	4.46434
121.073	13	4.46433
125.537	30	4.46434
130.001	26	4.46434
134.466	34	4.46434
138.93	19	4.46432
143.394	18	4.46434
147.859	24	4.46434
152.323	29	4.46434
156.787	31	4.46434
161.252	40	4.46434
165.716	44	4.46432
170.18	28	4.46434
174.645	12	4.46434
179.109	6	4.46434
183.574	9	4.46434
188.038	26	4.46432
192.502	25	4.46434
196.967	30	4.46434
201.431	25	4.46434
205.895	17	4.46434
210.36	23	4.46434
214.824	14	4.46432
219.288	14	4.46434
223.753	5	4.46434

