# Lower Bound	Count	Width
19.0788	3	7.30298
26.3818	8	7.30298
33.6847	21	7.30298
40.9877	26	7.30298
48.2907	48	7.30298
55.5937	62	7.30298
62.8967	99	7.30298
70.1996	111	7.30298
77.5026	160	7.30298
84.8056	159	7.30298
92.1086	163	7.30299
99.4116	209	7.30298
106.715	229	7.30298
114.018	209	7.30298
121.321	258	7.30299
128.623	232	7.30298
135.926	261	7.30298
143.229	284	7.30298
150.532	265	7.30298
157.835	287	7.30298
165.138	297	7.30298
172.441	284	7.30298
179.744	292	7.30298
187.047	287	7.30299
194.35	298	7.30298
201.653	285	7.30298
208.956	282	7.30298
216.259	274	7.30298
223.562	286	7.30298
230.865	301	7.30298
238.168	251	7.30298
245.471	276	7.30298
252.774	240	7.30298
260.077	211	7.30298
267.38	230	7.30298
274.683	210	7.30298
281.986	173	7.30298
289.289	170	7.30298
296.592	155	7.30298
303.895	110	7.30301
311.198	98	7.30298
318.501	80	7.30298
325.804	63	7.30298
333.107	44	7.30298
340.41	33	7.30298
347.713	14	7.30298
355.016	9	7.30298
362.319	5	7.30298
369.622	5	7.30298
376.925	4	7.30298

