# Lower Bound	Count	Width
38.923	5	7.55509
46.4781	2	7.55508
54.0332	8	7.55509
61.5883	20	7.55509
69.1433	33	7.55508
76.6984	34	7.55508
84.2535	44	7.55509
91.8086	52	7.55508
99.3637	59	7.55508
106.919	72	7.55509
114.474	65	7.55508
122.029	89	7.55509
129.584	92	7.55508
137.139	99	7.55508
144.694	98	7.55508
152.249	115	7.55508
159.804	101	7.5551
167.359	92	7.55508
174.915	126	7.55508
182.47	118	7.55508
190.025	125	7.55508
197.58	129	7.55508
205.135	127	7.5551
212.69	132	7.55508
220.245	140	7.55508
227.8	131	7.55508
235.355	163	7.55508
242.91	191	7.55508
250.465	181	7.55508
258.021	177	7.55508
265.576	176	7.55508
273.131	195	7.55511
280.686	228	7.55508
288.241	291	7.55508
295.796	297	7.55508
303.351	312	7.55508
310.906	380	7.55508
318.461	393	7.55508
326.016	400	7.55508
333.571	390	7.55508
341.126	359	7.55508
348.682	273	7.55508
356.237	205	7.55508
363.792	165	7.55511
371.347	88	7.55508
378.902	59	7.55508
386.457	28	7.55508
394.012	13	7.55508
401.567	10	7.55508
409.122	2	7.55508

