# Lower Bound	Count	Width
0.0133384	424	0.00221424
0.0155526	419	0.00221424
0.0177669	484	0.00221424
0.0199811	496	0.00221424
0.0221953	566	0.00221424
0.0244096	649	0.00221424
0.0266238	606	0.00221424
0.0288381	683	0.00221424
0.0310523	669	0.00221424
0.0332665	775	0.00221424
0.0354808	778	0.00221424
0.037695	790	0.00221424
0.0399093	758	0.00221424
0.0421235	744	0.00221424
0.0443377	776	0.00221424
0.046552	757	0.00221424
0.0487662	813	0.00221424
0.0509805	780	0.00221424
0.0531947	781	0.00221424
0.0554089	688	0.00221424
0.0576232	685	0.00221424
0.0598374	700	0.00221424
0.0620517	620	0.00221424
0.0642659	689	0.00221424
0.0664801	570	0.00221424
0.0686944	520	0.00221424
0.0709086	494	0.00221424
0.0731228	452	0.00221425
0.0753371	385	0.00221424
0.0775513	349	0.00221424
0.0797656	299	0.00221424
0.0819798	256	0.00221424
0.084194	257	0.00221425
0.0864083	249	0.00221424
0.0886225	188	0.00221424
0.0908368	164	0.00221424
0.093051	157	0.00221424
0.0952652	129	0.00221425
0.0974795	98	0.00221424
0.0996937	100	0.00221424
0.101908	67	0.00221424
0.104122	60	0.00221424
0.106336	34	0.00221425
0.108551	42	0.00221424
0.110765	42	0.00221424
0.112979	19	0.00221424
0.115193	12	0.00221424
0.117408	17	0.00221425
0.119622	2	0.00221424
0.121836	1	0.00221424

