# Lower Bound	Count	Width
5.00004	14267	4.18969
9.18973	3086	4.18969
13.3794	1320	4.18969
17.5691	853	4.18969
21.7588	457	4.18969
25.9485	238	4.18969
30.1382	233	4.18969
34.3279	115	4.18969
38.5176	149	4.18969
42.7073	72	4.18969
46.897	77	4.18969
51.0866	77	4.18969
55.2763	36	4.18969
59.466	18	4.18969
63.6557	26	4.18969
67.8454	8	4.18969
72.0351	6	4.18969
76.2248	16	4.18969
80.4145	4	4.18969
84.6042	4	4.1897
88.7939	1	4.18969
92.9836	1	4.18969
97.1732	4	4.18969
101.363	5	4.1897
105.553	2	4.18969
109.742	2	4.18969
113.932	3	4.18969
118.122	3	4.18969
122.311	2	4.1897
126.501	1	4.18969
130.691	2	4.1897
134.88	0	4.18968
139.07	0	4.1897
143.26	0	4.18968
147.45	0	4.1897
151.639	1	4.1897
155.829	0	4.18968
160.019	0	4.1897
164.208	0	4.18968
168.398	0	4.1897
172.588	0	4.1897
176.777	1	4.18968
180.967	1	4.1897
185.157	0	4.18968
189.346	0	4.1897
193.536	0	4.1897
197.726	0	4.18968
201.916	0	4.1897
206.105	1	4.18968
210.295	0	4.1897

