# Lower Bound	Count	Width
17.72	1	6.87944
24.5995	1	6.87944
31.4789	2	6.87943
38.3584	0	6.87944
45.2378	3	6.87944
52.1172	12	6.87944
58.9967	19	6.87944
65.8761	38	6.87944
72.7555	33	6.87943
79.635	49	6.87944
86.5144	57	6.87943
93.3938	59	6.87944
100.273	61	6.87943
107.153	77	6.87944
114.032	85	6.87943
120.912	82	6.87944
127.791	74	6.87943
134.67	83	6.87944
141.55	86	6.87944
148.429	78	6.87944
155.309	76	6.87943
162.188	85	6.87944
169.068	89	6.87944
175.947	79	6.87944
182.827	86	6.87943
189.706	71	6.87944
196.585	65	6.87944
203.465	61	6.87944
210.344	71	6.87943
217.224	62	6.87944
224.103	61	6.87944
230.983	49	6.87944
237.862	39	6.87943
244.741	45	6.87944
251.621	42	6.87943
258.5	30	6.87946
265.38	28	6.87943
272.259	25	6.87946
279.139	34	6.87943
286.018	21	6.87943
292.897	23	6.87946
299.777	16	6.87943
306.656	15	6.87943
313.536	14	6.87946
320.415	6	6.87943
327.295	10	6.87946
334.174	3	6.87943
341.054	8	6.87943
347.933	4	6.87946
354.812	1	6.87943

