# Lower Bound	Count	Width
11.4018	19	9.57268
20.9744	54	9.57268
30.5471	92	9.57268
40.1198	83	9.57268
49.6925	107	9.57268
59.2651	147	9.57268
68.8378	131	9.57268
78.4105	110	9.57268
87.9832	92	9.57268
97.5559	93	9.57268
107.129	65	9.57269
116.701	56	9.57268
126.274	45	9.57269
135.847	47	9.57268
145.419	27	9.57268
154.992	27	9.57268
164.565	25	9.57268
174.137	24	9.57268
183.71	22	9.57268
193.283	31	9.57268
202.855	12	9.57268
212.428	21	9.57268
222.001	19	9.57268
231.573	17	9.57269
241.146	17	9.57268
250.719	16	9.57268
260.291	21	9.57266
269.864	17	9.57269
279.437	22	9.57269
289.009	20	9.57266
298.582	19	9.57269
308.155	11	9.57266
317.727	20	9.57269
327.3	20	9.57266
336.873	15	9.57269
346.446	25	9.57266
356.018	21	9.57269
365.591	20	9.57266
375.164	9	9.57269
384.736	21	9.57269
394.309	16	9.57266
403.882	11	9.57269
413.454	8	9.57266
423.027	3	9.57269
432.6	8	9.57266
442.172	1	9.57269
451.745	2	9.57266
461.318	0	9.57269
470.89	1	9.57266
480.463	1	9.57269

