# Lower Bound	Count	Width
0.0133358	399	0.00085282
0.0141886	446	0.00085282
0.0150415	322	0.000852819
0.0158943	275	0.00085282
0.0167471	367	0.00085282
0.0175999	395	0.00085282
0.0184527	384	0.00085282
0.0193056	353	0.00085282
0.0201584	378	0.00085282
0.0210112	389	0.00085282
0.021864	344	0.00085282
0.0227168	280	0.00085282
0.0235697	303	0.00085282
0.0244225	237	0.00085282
0.0252753	252	0.00085282
0.0261281	244	0.00085282
0.0269809	191	0.00085282
0.0278338	206	0.00085282
0.0286866	128	0.00085282
0.0295394	112	0.00085282
0.0303922	107	0.000852818
0.031245	101	0.000852821
0.0320979	109	0.00085282
0.0329507	114	0.00085282
0.0338035	96	0.00085282
0.0346563	80	0.00085282
0.0355091	75	0.00085282
0.036362	99	0.00085282
0.0372148	116	0.00085282
0.0380676	151	0.00085282
0.0389204	144	0.000852816
0.0397732	115	0.00085282
0.040626	95	0.00085282
0.0414789	98	0.00085282
0.0423317	48	0.00085282
0.0431845	41	0.00085282
0.0440373	34	0.00085282
0.0448901	48	0.00085282
0.045743	47	0.00085282
0.0465958	14	0.00085282
0.0474486	18	0.00085282
0.0483014	19	0.00085282
0.0491542	14	0.00085282
0.0500071	15	0.00085282
0.0508599	28	0.00085282
0.0517127	12	0.00085282
0.0525655	2	0.00085282
0.0534183	1	0.00085282
0.0542712	1	0.00085282
0.055124	4	0.00085282

