# Lower Bound	Count	Width
5.00022	2150	3.07891
8.07913	1411	3.07891
11.158	1040	3.07891
14.2369	451	3.07891
17.3158	518	3.07891
20.3947	275	3.07891
23.4737	289	3.07891
26.5526	115	3.07891
29.6315	102	3.07891
32.7104	162	3.07891
35.7893	177	3.0789
38.8682	148	3.07891
41.9471	42	3.07891
45.026	12	3.0789
48.1049	19	3.07891
51.1838	24	3.0789
54.2627	14	3.07891
57.3416	14	3.07891
60.4205	14	3.0789
63.4994	53	3.07891
66.5783	105	3.0789
69.6572	43	3.07891
72.7361	17	3.0789
75.815	33	3.0789
78.894	67	3.0789
81.9729	83	3.07891
85.0518	10	3.0789
88.1307	9	3.0789
91.2096	14	3.07891
94.2885	15	3.0789
97.3674	17	3.0789
100.446	36	3.07891
103.525	29	3.0789
106.604	19	3.0789
109.683	29	3.0789
112.762	11	3.07891
115.841	25	3.0789
118.92	31	3.0789
121.999	25	3.07891
125.078	23	3.0789
128.156	17	3.07892
131.235	4	3.0789
134.314	0	3.0789
137.393	1	3.0789
140.472	3	3.0789
143.551	1	3.0789
146.63	24	3.07892
149.709	36	3.0789
152.788	30	3.0789
155.867	21	3.0789

