# Lower Bound	Count	Width
-5.96046e-07	44	7.91548
7.91548	53	7.91548
15.831	112	7.91548
23.7464	169	7.91548
31.6619	270	7.91548
39.5774	319	7.91548
47.4929	379	7.91548
55.4083	384	7.91548
63.3238	341	7.91548
71.2393	284	7.91548
79.1548	234	7.91548
87.0703	207	7.91547
94.9857	144	7.91548
102.901	136	7.91547
110.817	96	7.91548
118.732	75	7.91548
126.648	61	7.91548
134.563	46	7.91547
142.479	32	7.91548
150.394	27	7.91548
158.31	18	7.91548
166.225	25	7.91548
174.141	14	7.91547
182.056	8	7.91548
189.971	11	7.91548
197.887	13	7.91548
205.802	9	7.91548
213.718	10	7.91547
221.633	4	7.91548
229.549	3	7.91548
237.464	9	7.91548
245.38	8	7.91548
253.295	7	7.91547
261.211	9	7.9155
269.126	1	7.91547
277.042	1	7.91547
284.957	2	7.9155
292.873	2	7.91547
300.788	1	7.9155
308.704	2	7.91547
316.619	3	7.91547
324.535	0	7.9155
332.45	1	7.91547
340.366	2	7.9155
348.281	0	7.91547
356.197	0	7.91547
364.112	0	7.9155
372.027	1	7.91547
379.943	1	7.9155
387.858	2	7.91547

