# Lower Bound	Count	Width
0.0197821	268	0.00258368
0.0223658	548	0.00258368
0.0249494	836	0.00258368
0.0275331	1030	0.00258368
0.0301168	1106	0.00258368
0.0327005	1134	0.00258368
0.0352842	1138	0.00258368
0.0378678	1097	0.00258368
0.0404515	994	0.00258368
0.0430352	1012	0.00258368
0.0456189	921	0.00258368
0.0482025	869	0.00258368
0.0507862	807	0.00258368
0.0533699	730	0.00258368
0.0559536	730	0.00258368
0.0585373	691	0.00258368
0.0611209	566	0.00258368
0.0637046	566	0.00258368
0.0662883	472	0.00258368
0.068872	456	0.00258368
0.0714557	330	0.00258368
0.0740393	307	0.00258368
0.076623	268	0.00258368
0.0792067	283	0.00258368
0.0817904	169	0.00258368
0.084374	145	0.00258368
0.0869577	113	0.00258368
0.0895414	58	0.00258368
0.0921251	69	0.00258368
0.0947087	49	0.00258368
0.0972924	56	0.00258368
0.0998761	40	0.00258368
0.10246	29	0.00258368
0.105043	19	0.00258368
0.107627	22	0.00258368
0.110211	13	0.00258368
0.112794	12	0.00258368
0.115378	13	0.00258368
0.117962	8	0.00258368
0.120546	13	0.00258368
0.123129	5	0.00258368
0.125713	1	0.00258367
0.128297	0	0.00258368
0.13088	1	0.00258368
0.133464	4	0.00258368
0.136048	0	0.00258367
0.138631	0	0.00258368
0.141215	1	0.00258368
0.143799	0	0.00258367
0.146382	1	0.00258368

