# Lower Bound	Count	Width
5.00007	13870	4.81573
9.81581	2332	4.81573
14.6315	704	4.81573
19.4473	387	4.81573
24.263	222	4.81573
29.0787	129	4.81573
33.8945	73	4.81573
38.7102	70	4.81573
43.5259	39	4.81573
48.3417	33	4.81573
53.1574	19	4.81573
57.9731	13	4.81573
62.7889	29	4.81573
67.6046	12	4.81573
72.4203	6	4.81573
77.2361	11	4.81573
82.0518	10	4.81573
86.8675	5	4.81573
91.6833	6	4.81573
96.499	6	4.81573
101.315	5	4.81573
106.13	2	4.81573
110.946	4	4.81573
115.762	1	4.81573
120.578	1	4.81573
125.393	1	4.81573
130.209	1	4.81573
135.025	0	4.81573
139.841	0	4.81573
144.656	1	4.81573
149.472	0	4.81573
154.288	1	4.81573
159.104	1	4.81573
163.919	1	4.81573
168.735	3	4.81572
173.551	0	4.81573
178.366	0	4.81573
183.182	0	4.81573
187.998	1	4.81573
192.814	0	4.81573
197.629	0	4.81573
202.445	0	4.81573
207.261	0	4.81573
212.077	0	4.81573
216.892	0	4.81572
221.708	0	4.81573
226.524	0	4.81573
231.34	0	4.81573
236.155	0	4.81573
240.971	0	4.81573

