# Lower Bound	Count	Width
11.5758	54	8.61258
20.1884	67	8.61258
28.801	71	8.61258
37.4136	132	8.61258
46.0261	180	8.61258
54.6387	298	8.61258
63.2513	412	8.61258
71.8639	555	8.61258
80.4765	718	8.61258
89.089	789	8.61258
97.7016	898	8.61257
106.314	1042	8.61258
114.927	1168	8.61258
123.539	1284	8.61257
132.152	1395	8.61258
140.764	1520	8.61258
149.377	1714	8.61258
157.99	1768	8.61258
166.602	1894	8.61258
175.215	1928	8.61258
183.827	2073	8.61256
192.44	2162	8.61258
201.053	2287	8.61258
209.665	2363	8.61258
218.278	2641	8.61258
226.89	2662	8.61258
235.503	2996	8.61258
244.115	3242	8.61258
252.728	3718	8.61256
261.341	3991	8.61258
269.953	4568	8.61258
278.566	5248	8.61258
287.178	5733	8.61258
295.791	6365	8.61258
304.403	6895	8.61258
313.016	7409	8.61258
321.629	7046	8.61258
330.241	6099	8.61258
338.854	4986	8.61258
347.466	3462	8.61258
356.079	2236	8.61258
364.692	1221	8.61255
373.304	603	8.61258
381.917	345	8.61258
390.529	147	8.61258
399.142	48	8.61258
407.754	23	8.61258
416.367	9	8.61258
424.98	2	8.61258
433.592	1	8.61258

