# Lower Bound	Count	Width
0.0133327	14335	0.00288456
0.0162173	14862	0.00288456
0.0191018	15226	0.00288456
0.0219864	15207	0.00288456
0.024871	15543	0.00288456
0.0277555	15938	0.00288456
0.0306401	16055	0.00288456
0.0335246	16138	0.00288456
0.0364092	16331	0.00288456
0.0392937	16169	0.00288456
0.0421783	15644	0.00288456
0.0450629	15272	0.00288456
0.0479474	15251	0.00288456
0.050832	14273	0.00288456
0.0537165	13375	0.00288456
0.0566011	12736	0.00288456
0.0594856	11357	0.00288456
0.0623702	10129	0.00288456
0.0652547	8936	0.00288456
0.0681393	7629	0.00288455
0.0710239	6713	0.00288456
0.0739084	5685	0.00288455
0.076793	4882	0.00288456
0.0796775	4413	0.00288455
0.0825621	3517	0.00288456
0.0854466	2932	0.00288455
0.0883312	2394	0.00288456
0.0912157	2199	0.00288455
0.0941003	1674	0.00288456
0.0969849	1416	0.00288455
0.0998694	1041	0.00288456
0.102754	913	0.00288456
0.105639	713	0.00288455
0.108523	600	0.00288456
0.111408	471	0.00288455
0.114292	382	0.00288456
0.117177	322	0.00288455
0.120061	184	0.00288456
0.122946	170	0.00288455
0.12583	103	0.00288455
0.128715	85	0.00288457
0.1316	72	0.00288455
0.134484	75	0.00288455
0.137369	44	0.00288455
0.140253	42	0.00288457
0.143138	12	0.00288455
0.146022	17	0.00288455
0.148907	19	0.00288455
0.151791	23	0.00288457
0.154676	7	0.00288455

