# Lower Bound	Count	Width
5	236291	4.44004
9.44004	46146	4.44004
13.8801	14514	4.44004
18.3201	8632	4.44004
22.7601	5043	4.44004
27.2002	2249	4.44004
31.6402	1994	4.44003
36.0803	1326	4.44004
40.5203	1127	4.44004
44.9603	593	4.44004
49.4004	682	4.44004
53.8404	338	4.44004
58.2804	237	4.44004
62.7205	269	4.44004
67.1605	196	4.44004
71.6006	138	4.44003
76.0406	177	4.44003
80.4806	186	4.44004
84.9207	137	4.44003
89.3607	63	4.44004
93.8007	105	4.44003
98.2408	97	4.44004
102.681	74	4.44003
107.121	55	4.44004
111.561	33	4.44003
116.001	17	4.44004
120.441	27	4.44003
124.881	27	4.44004
129.321	39	4.44003
133.761	40	4.44003
138.201	22	4.44005
142.641	28	4.44003
147.081	28	4.44003
151.521	47	4.44003
155.961	37	4.44003
160.401	54	4.44005
164.841	58	4.44003
169.281	34	4.44003
173.721	31	4.44003
178.161	31	4.44005
182.601	45	4.44003
187.042	37	4.44003
191.482	34	4.44003
195.922	31	4.44005
200.362	32	4.44003
204.802	33	4.44003
209.242	41	4.44003
213.682	23	4.44005
218.122	17	4.44003
222.562	13	4.44003

