# Lower Bound	Count	Width
7.81025	3	7.53722
15.3475	3	7.53722
22.8847	13	7.53722
30.4219	19	7.53722
37.9591	60	7.53722
45.4964	116	7.53722
53.0336	163	7.53722
60.5708	279	7.53722
68.108	302	7.53722
75.6452	398	7.53722
83.1825	480	7.53722
90.7197	549	7.53722
98.2569	629	7.53722
105.794	725	7.53722
113.331	739	7.53722
120.869	737	7.53722
128.406	819	7.53723
135.943	814	7.53722
143.48	760	7.53722
151.017	800	7.53723
158.555	806	7.53722
166.092	785	7.53722
173.629	771	7.53723
181.166	728	7.53722
188.704	669	7.53722
196.241	655	7.53723
203.778	577	7.53722
211.315	568	7.53722
218.852	515	7.53722
226.39	488	7.53723
233.927	453	7.53722
241.464	457	7.53722
249.001	411	7.53723
256.539	352	7.53723
264.076	321	7.5372
271.613	278	7.53723
279.15	275	7.5372
286.687	229	7.53723
294.225	189	7.53723
301.762	134	7.5372
309.299	134	7.53723
316.836	109	7.53723
324.374	55	7.5372
331.911	59	7.53723
339.448	28	7.53723
346.985	11	7.5372
354.522	11	7.53723
362.06	4	7.53723
369.597	1	7.5372
377.134	1	7.53723

